year,player,team,round,disposals,opponent,venue,is_home,had_bye_last_week,opponent_avg_disposals,opponent_defensive_avg,venue_avg_disposals,home_team,away_team,total_score_close
2026,Callum Ah Chee,Adelaide,2,12,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Sam Berry,Adelaide,2,19,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Hugh Bond,Adelaide,2,13,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Jordon Butts,Adelaide,2,8,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Brayden Cook,Adelaide,2,19,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Isaac Cumming,Adelaide,2,19,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Jordan Dawson,Adelaide,2,21,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Darcy Fogarty,Adelaide,2,8,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Ben Keays,Adelaide,2,13,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Rory Laird,Adelaide,2,25,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Lachlan McAndrew,Adelaide,2,13,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Max Michalanney,Adelaide,2,16,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Wayne Milera,Adelaide,2,34,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Nick Murray,Adelaide,2,13,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Toby Murray,Adelaide,2,2,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Alex Neal-Bullen,Adelaide,2,26,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,James Peatling,Adelaide,2,20,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Luke Pedlar,Adelaide,2,7,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Josh Rachele,Adelaide,2,24,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Jake Soligo,Adelaide,2,14,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Riley Thilthorpe,Adelaide,2,15,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Taylor Walker,Adelaide,2,19,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Josh Worrell,Adelaide,2,27,Collingwood,M.C.G.,1,0,16.750446162998216,,16.528518330347353,Adelaide,Collingwood,
2026,Callum Ah Chee,Adelaide,3,8,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Sam Berry,Adelaide,3,22,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Jordon Butts,Adelaide,3,19,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Brayden Cook,Adelaide,3,13,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Isaac Cumming,Adelaide,3,18,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Jordan Dawson,Adelaide,3,25,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Darcy Fogarty,Adelaide,3,11,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Chayce Jones,Adelaide,3,22,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Ben Keays,Adelaide,3,15,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Rory Laird,Adelaide,3,18,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Lachlan McAndrew,Adelaide,3,13,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Max Michalanney,Adelaide,3,13,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Wayne Milera,Adelaide,3,19,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Nick Murray,Adelaide,3,16,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Alex Neal-Bullen,Adelaide,3,17,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,James Peatling,Adelaide,3,12,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Luke Pedlar,Adelaide,3,7,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Josh Rachele,Adelaide,3,18,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Izak Rankine,Adelaide,3,16,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Jake Soligo,Adelaide,3,12,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Riley Thilthorpe,Adelaide,3,13,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Taylor Walker,Adelaide,3,11,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Josh Worrell,Adelaide,3,25,Western Bulldogs,Adelaide Oval,0,0,16.87150837988827,,16.095979793727636,Western Bulldogs,Adelaide,
2026,Sam Berry,Adelaide,4,22,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Sam Berry,Adelaide,4,22,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Hugh Bond,Adelaide,4,8,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Hugh Bond,Adelaide,4,8,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Jordon Butts,Adelaide,4,11,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Jordon Butts,Adelaide,4,11,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Brayden Cook,Adelaide,4,21,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Brayden Cook,Adelaide,4,21,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Isaac Cumming,Adelaide,4,10,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Isaac Cumming,Adelaide,4,10,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Darcy Fogarty,Adelaide,4,7,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Darcy Fogarty,Adelaide,4,7,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Chayce Jones,Adelaide,4,9,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Chayce Jones,Adelaide,4,9,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Ben Keays,Adelaide,4,15,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Ben Keays,Adelaide,4,15,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Finnbar Maley,Adelaide,4,7,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Finnbar Maley,Adelaide,4,7,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Lachlan McAndrew,Adelaide,4,17,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Lachlan McAndrew,Adelaide,4,17,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Max Michalanney,Adelaide,4,11,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Max Michalanney,Adelaide,4,11,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Wayne Milera,Adelaide,4,19,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Wayne Milera,Adelaide,4,19,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Nick Murray,Adelaide,4,12,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Nick Murray,Adelaide,4,12,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Luke Nankervis,Adelaide,4,10,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
2026,Luke Nankervis,Adelaide,4,10,Geelong,Kardinia Park,1,0,16.669557325804174,,16.391054646710757,Adelaide,Geelong,
