year,round,home_team,away_team,venue,total_score_close
2020,4,Richmond,St Kilda,Docklands,121.5
2020,6,Brisbane,Geelong,S.C.G.,121.5
2020,6,Brisbane,Geelong,S.C.G.,121.5
2020,10,Brisbane,Richmond,Carrara,117.5
2020,12,Port Adelaide,Geelong,Carrara,114.5
2020,17,Richmond,Geelong,Carrara,105.5
2020,18,Geelong,Port Adelaide,Adelaide Oval,122.5
2020,18,Richmond,Brisbane,Gabba,123.5
2020,18,St Kilda,Richmond,Carrara,127.5
2020,18,Geelong,Brisbane,Gabba,127.5
2020,18,Geelong,Richmond,Gabba,117.5
2021,1,Hawthorn,Essendon,Docklands,174.5
2021,2,Collingwood,Carlton,M.C.G.,148.5
2021,2,Collingwood,Carlton,M.C.G.,148.5
2021,2,Brisbane,Geelong,Kardinia Park,161.5
2021,2,North Melbourne,Gold Coast,Carrara,157.5
2021,2,Richmond,Hawthorn,M.C.G.,163.5
2021,2,West Coast,Western Bulldogs,Docklands,146.5
2021,3,Brisbane,Collingwood,Docklands,160.5
2021,3,Brisbane,Collingwood,Docklands,160.5
2021,3,Western Bulldogs,North Melbourne,Docklands,163.5
2021,3,Fremantle,Carlton,Docklands,150.5
2021,3,Melbourne,GWS Giants,Manuka Oval,154.5
2021,4,Essendon,Sydney,S.C.G.,161.5
2021,4,Essendon,Sydney,S.C.G.,161.5
2021,4,Brisbane,Western Bulldogs,Eureka Stadium,163.5
2021,4,West Coast,St Kilda,Docklands,154.5
2021,4,Carlton,Gold Coast,Carrara,165.5
2021,4,Adelaide,North Melbourne,Docklands,162.5
2021,4,Geelong,Melbourne,M.C.G.,145.5
2021,4,Hawthorn,Fremantle,Perth Stadium,150.5
2021,5,Richmond,St Kilda,Docklands,152.5
2021,5,Richmond,St Kilda,Docklands,152.5
2021,5,Collingwood,West Coast,Perth Stadium,144.5
2021,5,Gold Coast,Western Bulldogs,Docklands,153.5
2021,5,GWS Giants,Sydney,S.C.G.,147.5
2021,5,Port Adelaide,Carlton,M.C.G.,162.5
2021,5,Melbourne,Hawthorn,M.C.G.,139.5
2021,5,North Melbourne,Geelong,Kardinia Park,153.5
2021,6,Sydney,Gold Coast,Carrara,163.5
2021,6,Adelaide,Hawthorn,York Park,159.5
2021,6,Essendon,Collingwood,M.C.G.,165.5
2021,6,St Kilda,Port Adelaide,Adelaide Oval,151.5
2021,7,Fremantle,West Coast,Perth Stadium,156.5
2021,8,Geelong,Richmond,M.C.G.,148.5
2021,8,Geelong,Richmond,M.C.G.,148.5
2021,8,Essendon,GWS Giants,Sydney Showground,159.5
2021,8,Adelaide,Port Adelaide,Adelaide Oval,155.5
2021,8,Fremantle,Brisbane,Gabba,151.5
2021,9,Geelong,St Kilda,Docklands,155.5
2021,9,Geelong,St Kilda,Docklands,155.5
2021,9,Brisbane,Gold Coast,Carrara,161.5
2021,9,GWS Giants,Richmond,Docklands,158.5
2021,9,Western Bulldogs,Port Adelaide,Adelaide Oval,157.5
2021,9,Adelaide,West Coast,Perth Stadium,153.5
2021,10,Richmond,Brisbane,Gabba,150.5
2021,10,Richmond,Brisbane,Gabba,150.5
2021,10,Melbourne,Adelaide,Adelaide Oval,156.5
2021,10,Sydney,Fremantle,Perth Stadium,162.5
2021,10,Port Adelaide,Collingwood,M.C.G.,150.5
2021,10,North Melbourne,Essendon,Docklands,161.5
2021,11,Melbourne,Western Bulldogs,Docklands,155.5
2021,11,Melbourne,Western Bulldogs,Docklands,155.5
2021,12,St Kilda,Sydney,S.C.G.,165.5
2021,14,Carlton,GWS Giants,Sydney Showground,168.5
2021,14,Essendon,Hawthorn,York Park,170.5
2021,15,Geelong,Brisbane,Gabba,172.5
2021,15,Geelong,Brisbane,Gabba,172.5
2021,15,St Kilda,Richmond,M.C.G.,173.5
2021,15,Gold Coast,North Melbourne,Bellerive Oval,165.5
2021,15,Western Bulldogs,West Coast,Perth Stadium,171.5
2021,16,GWS Giants,Melbourne,M.C.G.,165.5
2021,16,Carlton,Fremantle,M.C.G.,166.5
2021,16,North Melbourne,Western Bulldogs,Docklands,178.5
2021,17,Fremantle,Hawthorn,York Park,147.5
2021,18,Brisbane,Richmond,Carrara,157.5
2021,18,Port Adelaide,St Kilda,Docklands,165.5
2021,18,Western Bulldogs,Gold Coast,Carrara,168.5
2021,18,Hawthorn,Melbourne,M.C.G.,163.5
2021,18,Essendon,North Melbourne,Carrara,174.5
2021,18,Carlton,Collingwood,M.C.G.,162.5
2021,18,West Coast,Adelaide,Adelaide Oval,171.5
2021,18,Sydney,GWS Giants,Carrara,155.5
2021,19,Collingwood,Port Adelaide,Docklands,155.5
2021,19,Collingwood,Port Adelaide,Docklands,155.5
2021,19,Gold Coast,Brisbane,Gabba,160.5
2021,19,St Kilda,West Coast,Perth Stadium,173.5
2021,19,Western Bulldogs,Melbourne,M.C.G.,163.5
2021,19,Hawthorn,Adelaide,Docklands,170.5
2021,19,Fremantle,Sydney,Carrara,131.5
2021,19,Richmond,Geelong,M.C.G.,153.5
2021,19,GWS Giants,Essendon,Carrara,171.5
2021,20,Geelong,North Melbourne,Bellerive Oval,166.5
2021,20,West Coast,Collingwood,M.C.G.,156.5
2021,20,Sydney,Essendon,M.C.G.,179.5
2021,21,Gold Coast,Carlton,Docklands,166.5
2021,21,Port Adelaide,Adelaide,Adelaide Oval,159.5
2021,21,Sydney,St Kilda,Docklands,168.5
2021,21,Brisbane,Fremantle,Perth Stadium,166.5
2021,22,Richmond,GWS Giants,Docklands,159.5
2021,22,Richmond,GWS Giants,Docklands,159.5
2021,22,Carlton,Port Adelaide,Adelaide Oval,163.5
2021,22,St Kilda,Geelong,Kardinia Park,169.5
2021,22,Collingwood,Brisbane,Gabba,171.5
2021,22,Adelaide,Melbourne,M.C.G.,164.5
2021,22,West Coast,Fremantle,Perth Stadium,161.5
2021,23,Port Adelaide,Western Bulldogs,Docklands,151.5
2021,23,Port Adelaide,Western Bulldogs,Docklands,151.5
2021,23,Hawthorn,Richmond,M.C.G.,173.5
2021,23,Gold Coast,Sydney,Docklands,171.5
2021,23,Melbourne,Geelong,Kardinia Park,149.5
2021,23,GWS Giants,Carlton,Docklands,149.5
2021,23,Collingwood,Essendon,M.C.G.,163.5
2021,23,North Melbourne,Adelaide,Adelaide Oval,178.5
2021,23,GWS Giants,Sydney,York Park,147.5
2021,23,Western Bulldogs,Brisbane,Gabba,164.5
2021,23,Geelong,Melbourne,Perth Stadium,145.5
2021,23,Western Bulldogs,Port Adelaide,Adelaide Oval,157.5
2021,23,Western Bulldogs,Melbourne,Perth Stadium,163.5
2022,1,Western Bulldogs,Melbourne,M.C.G.,164.5
2022,1,Western Bulldogs,Melbourne,M.C.G.,164.5
2022,1,Richmond,Carlton,M.C.G.,160.5
2022,1,Sydney,GWS Giants,Stadium Australia,171.5
2022,1,North Melbourne,Hawthorn,M.C.G.,171.5
2022,1,Gold Coast,West Coast,Perth Stadium,172.5
2022,2,Geelong,Sydney,S.C.G.,164.5
2022,2,Adelaide,Collingwood,M.C.G.,152.5
2022,2,Brisbane,Essendon,Docklands,182.5
2022,2,St Kilda,Fremantle,Perth Stadium,157.5
2022,3,Sydney,Western Bulldogs,Docklands,164.5
2022,3,Sydney,Western Bulldogs,Docklands,164.5
2022,3,Port Adelaide,Adelaide,Adelaide Oval,164.5
2022,3,Geelong,Collingwood,M.C.G.,161.5
2022,3,Fremantle,West Coast,Perth Stadium,152.5
2022,4,Melbourne,Port Adelaide,Adelaide Oval,159.5
2022,4,Melbourne,Port Adelaide,Adelaide Oval,159.5
2022,4,North Melbourne,Sydney,S.C.G.,176.5
2022,4,GWS Giants,Fremantle,Perth Stadium,149.5
2022,4,St Kilda,Hawthorn,M.C.G.,171.5
2022,6,Carlton,Fremantle,Perth Stadium,162.5
2022,6,Geelong,North Melbourne,Bellerive Oval,155.5
2022,6,Brisbane,Gold Coast,Carrara,171.5
2022,6,Collingwood,Essendon,M.C.G.,170.5
2022,7,Richmond,West Coast,Perth Stadium,172.5
2022,7,Richmond,West Coast,Perth Stadium,172.5
2022,7,Gold Coast,Collingwood,M.C.G.,151.5
2022,8,Adelaide,Carlton,Docklands,160.5
2022,9,Richmond,Hawthorn,M.C.G.,171.5
2022,9,Geelong,St Kilda,Docklands,150.5
2022,9,Essendon,Sydney,S.C.G.,167.5
2022,9,Carlton,GWS Giants,Sydney Showground,173.5
2022,10,Port Adelaide,Geelong,Kardinia Park,155.5
2022,10,Essendon,Richmond,M.C.G.,176.5
2022,10,Collingwood,Fremantle,Perth Stadium,151.5
2022,11,GWS Giants,Brisbane,Gabba,172.5
2022,11,Fremantle,Melbourne,M.C.G.,144.5
2022,11,Hawthorn,Gold Coast,Marrara Oval,167.5
2022,11,Carlton,Collingwood,M.C.G.,165.5
2022,11,Essendon,Port Adelaide,Adelaide Oval,173.5
2022,12,Geelong,Western Bulldogs,Docklands,163.5
2022,12,Geelong,Western Bulldogs,Docklands,163.5
2022,12,West Coast,Adelaide,Adelaide Oval,167.5
2022,12,North Melbourne,Gold Coast,Marrara Oval,182.5
2022,13,Port Adelaide,Richmond,M.C.G.,150.5
