year,team,opponent,opponent_defensive_avg
2020,Adelaide,Sydney,13.50997150997151
2020,Adelaide,Port Adelaide,12.836363636363636
2020,Adelaide,Gold Coast,13.975935828877006
2020,Adelaide,North Melbourne,13.970588235294118
2020,Adelaide,Brisbane Lions,12.97841726618705
2020,Adelaide,Fremantle,13.33030303030303
2020,Adelaide,West Coast,13.91161616161616
2020,Adelaide,St Kilda,13.318181818181818
2020,Adelaide,Essendon,13.8125
2020,Adelaide,Melbourne,13.963636363636363
2020,Adelaide,Collingwood,13.371702637889689
2020,Adelaide,Western Bulldogs,13.297727272727272
2020,Adelaide,Geelong,12.783653846153847
2020,Adelaide,Hawthorn,14.474747474747474
2020,Adelaide,Greater Western Sydney,12.903743315508022
2020,Adelaide,Carlton,12.876262626262626
2020,Adelaide,Richmond,13.900990099009901
2020,Carlton,Melbourne,13.963636363636363
2020,Carlton,Geelong,12.783653846153847
2020,Carlton,Essendon,13.8125
2020,Carlton,St Kilda,13.318181818181818
2020,Carlton,Western Bulldogs,13.297727272727272
2020,Carlton,Port Adelaide,12.836363636363636
2020,Carlton,North Melbourne,13.970588235294118
2020,Carlton,Hawthorn,14.474747474747474
2020,Carlton,West Coast,13.91161616161616
2020,Carlton,Fremantle,13.33030303030303
2020,Carlton,Gold Coast,13.975935828877006
2020,Carlton,Collingwood,13.371702637889689
2020,Carlton,Greater Western Sydney,12.903743315508022
2020,Carlton,Adelaide,13.943181818181818
2020,Carlton,Brisbane Lions,12.97841726618705
2020,Carlton,Richmond,13.900990099009901
2020,Carlton,Sydney,13.50997150997151
2020,Collingwood,Western Bulldogs,13.297727272727272
2020,Collingwood,Richmond,13.900990099009901
2020,Collingwood,St Kilda,13.318181818181818
2020,Collingwood,Greater Western Sydney,12.903743315508022
2020,Collingwood,Essendon,13.8125
2020,Collingwood,Hawthorn,14.474747474747474
2020,Collingwood,Geelong,12.783653846153847
2020,Collingwood,West Coast,13.91161616161616
2020,Collingwood,Fremantle,13.33030303030303
2020,Collingwood,Sydney,13.50997150997151
2020,Collingwood,Adelaide,13.943181818181818
2020,Collingwood,Melbourne,13.963636363636363
2020,Collingwood,North Melbourne,13.970588235294118
2020,Collingwood,Carlton,12.876262626262626
2020,Collingwood,Brisbane Lions,12.97841726618705
2020,Collingwood,Gold Coast,13.975935828877006
2020,Collingwood,Port Adelaide,12.836363636363636
2020,Essendon,St Kilda,13.318181818181818
2020,Essendon,Fremantle,13.33030303030303
2020,Essendon,Sydney,13.50997150997151
2020,Essendon,Carlton,12.876262626262626
2020,Essendon,Adelaide,13.943181818181818
2020,Essendon,Brisbane Lions,12.97841726618705
2020,Essendon,Gold Coast,13.975935828877006
2020,Essendon,Richmond,13.900990099009901
2020,Essendon,Western Bulldogs,13.297727272727272
2020,Essendon,Hawthorn,14.474747474747474
2020,Essendon,West Coast,13.91161616161616
2020,Essendon,Geelong,12.783653846153847
2020,Essendon,Port Adelaide,12.836363636363636
2020,Essendon,Melbourne,13.963636363636363
2020,Essendon,Greater Western Sydney,12.903743315508022
2020,Essendon,Collingwood,13.371702637889689
2020,Essendon,North Melbourne,13.970588235294118
2020,Fremantle,St Kilda,13.318181818181818
2020,Fremantle,West Coast,13.91161616161616
2020,Fremantle,Geelong,12.783653846153847
2020,Fremantle,Richmond,13.900990099009901
2020,Fremantle,Melbourne,13.963636363636363
2020,Fremantle,North Melbourne,13.970588235294118
2020,Fremantle,Western Bulldogs,13.297727272727272
2020,Fremantle,Essendon,13.8125
2020,Fremantle,Brisbane Lions,12.97841726618705
2020,Fremantle,Port Adelaide,12.836363636363636
2020,Fremantle,Gold Coast,13.975935828877006
2020,Fremantle,Adelaide,13.943181818181818
2020,Fremantle,Hawthorn,14.474747474747474
2020,Fremantle,Carlton,12.876262626262626
2020,Fremantle,Sydney,13.50997150997151
2020,Fremantle,Greater Western Sydney,12.903743315508022
2020,Fremantle,Collingwood,13.371702637889689
2020,Geelong,Greater Western Sydney,12.903743315508022
2020,Geelong,Hawthorn,14.474747474747474
